ID,Name
0,Owakening
1,Methodz
2,Vivid
3,Beans
4,Nero
5,SlasheR
6,aBeZy
7,Simp
8,Cellium
9,Scump
10,Shotzzy
11,iLLeY
12,Dashy
13,Afro
14,Attach
15,Bance
16,Cammy
17,TJHaLy
18,Temp
19,Clayster
20,Prolute
21,Drazah
22,Kenny
23,Octane
24,Envoy
25,Arcitys
26,Neptune
27,Spart
28,Huke
29,Sib
30,Pred
31,Accuracy
32,Mack
33,Insight
34,Standy
35,Scrappy
36,CleanX
37,Skyz
38,Priestahh
39,Kismet
40,HyDra
41,Asim
42,Zer0
43,Nastie
44,PaulEhx
45,Brack
46,Havok
47,Vikul
48,MajorManiak
49,2ReaL
50,Ulisses
51,Hollow
52,Mock
53,JurNii
54,SupeR
55,YaKo
56,Lucky
57,Diamondcon
58,Exceed
59,JoeDeceives
60,Assault
61,Denza
62,Gismo
63,Harry
64,Vortex
65,Skrapz
66,Capsidal
67,Davpadie